Method: GET | URL: / | Time: 1781331595955
Method: GET | URL: /users | Time: 1781331660452
Method: GET | URL: /api/users | Time: 1781331673725
Method: GET | URL: /api/users | Time: 1781332535402
Method: GET | URL: /api/users | Time: 1781332544753
Method: GET | URL: /api/users | Time: 1781332552014
Method: GET | URL: /api/users | Time: 1781332581243
Method: GET | URL: /api/users/7 | Time: 1781332615623
Method: GET | URL: /api/users | Time: 1781332641510
Method: POST | URL: /api/auth/login | Time: 1781332761357
Method: POST | URL: /api/auth/login | Time: 1781332933897
Method: GET | URL: /api/users? | Time: 1781333074370
Method: GET | URL: /api/users? | Time: 1781333172514
Method: GET | URL: /api/users | Time: 1781333281402
Method: GET | URL: /api/users? | Time: 1781333448024
Method: GET | URL: /api/users? | Time: 1781333452452
Method: GET | URL: /api/users? | Time: 1781337524197
Method: GET | URL: /api/users? | Time: 1781337967485
Method: POST | URL: /api/issues/9 | Time: 1781341613919
Method: POST | URL: /api/issues/9 | Time: 1781341664473
Method: POST | URL: /api/issues/9 | Time: 1781341680356
Method: POST | URL: /api/auth/login | Time: 1781350088986
Method: POST | URL: /api/issues | Time: 1781350225024
Method: POST | URL: /api/issues | Time: 1781350279313
Method: POST | URL: /api/issues | Time: 1781350369591
Method: POST | URL: /api/issues | Time: 1781350544471
Method: POST | URL: /api/issues | Time: 1781350606790
Method: POST | URL: /api/auth/login | Time: 1781350728074
Method: PUT | URL: /api/issues/7 | Time: 1781350797810
Method: POST | URL: /api/auth/login | Time: 1781350839709
Method: PUT | URL: /api/issues/7 | Time: 1781350882022
Method: PUT | URL: /api/issues/7 | Time: 1781350900433
Method: PUT | URL: /api/issues/7 | Time: 1781350953077
Method: PUT | URL: /api/issues/7 | Time: 1781359226070
Method: POST | URL: /api/users | Time: 1781374415546
Method: POST | URL: /api/auth/login | Time: 1781374446336
Method: PUT | URL: /api/issues/7/status | Time: 1781374521482
Method: PATCH | URL: /api/issues/7/status | Time: 1781374577489
Method: PATCH | URL: /api/issues/7/status | Time: 1781374614272
Method: PATCH | URL: /api/issues/7/status | Time: 1781374638632
Method: PATCH | URL: /api/issues/7/status | Time: 1781374664458
Method: PATCH | URL: /api/issues/7/status | Time: 1781374702726
Method: PATCH | URL: /api/issues/7/status | Time: 1781374716523
Method: PATCH | URL: /api/issues/7/status | Time: 1781375104797
Method: PATCH | URL: /api/issues/7/status | Time: 1781375293217
Method: PATCH | URL: /api/issues/7/status | Time: 1781375371766
Method: PATCH | URL: /api/issues/7/status | Time: 1781375559701
Method: POST | URL: /api/auth/login | Time: 1781375602312
Method: PATCH | URL: /api/issues/7/status | Time: 1781375626333
Method: PATCH | URL: /api/issues/7/status | Time: 1781377958239
Method: PUT | URL: /api/issues/7 | Time: 1781377977615
Method: PATCH | URL: /api/issues/7 | Time: 1781377984142
Method: PATCH | URL: /api/issues/7 | Time: 1781378060047
Method: PATCH | URL: /api/issues/7 | Time: 1781378079989
Method: PATCH | URL: /api/issues/7 | Time: 1781378118322
Method: POST | URL: /api/issues | Time: 1781379444425
Method: PATCH | URL: /api/issues/7 | Time: 1781379550952
Method: PATCH | URL: /api/issues/8 | Time: 1781379563767
Method: PATCH | URL: /api/issues/8 | Time: 1781379586391
Method: PATCH | URL: /api/issues/8 | Time: 1781379660282
Method: PATCH | URL: /api/issues/8 | Time: 1781379822986
Method: PATCH | URL: /api/issues/8 | Time: 1781379934326
Method: PATCH | URL: /api/issues/8 | Time: 1781380063147
Method: PATCH | URL: /api/issues/8 | Time: 1781380623533
Method: POST | URL: /api/auth/login | Time: 1781381098830
Method: PATCH | URL: /api/issues/8/status | Time: 1781381156932
Method: POST | URL: /api/auth/login | Time: 1781381182628
Method: PATCH | URL: /api/issues/8 | Time: 1781381208790
Method: POST | URL: /api/auth/login | Time: 1781420227600
Method: POST | URL: /api/auth/login | Time: 1781421078988
Method: POST | URL: /api/auth/login | Time: 1781446187008
Method: POST | URL: /api/auth/resfresh-token | Time: 1781446269954
Method: POST | URL: /api/auth/refresh-token | Time: 1781446293018
Method: POST | URL: /api/auth/refresh-token | Time: 1781447050557
Method: POST | URL: /api/auth/refresh-token | Time: 1781452417128
Method: PATCH | URL: /api/issues/8 | Time: 1781505344108
Method: PATCH | URL: /api/issues/8 | Time: 1781505357223
Method: PATCH | URL: /api/issues/8 | Time: 1781505415780
Method: PATCH | URL: /api/issues/8 | Time: 1781505565290
Method: PATCH | URL: /api/issues/8 | Time: 1781505575466
Method: PATCH | URL: /api/issues/8 | Time: 1781505876659
Method: GET | URL: /api/issues/1 | Time: 1781515024641
Method: GET | URL: /api/issues/1 | Time: 1781515146298
Method: GET | URL: /api/issues/1 | Time: 1781515179928
Method: GET | URL: /api/issues/6 | Time: 1781515236375
Method: GET | URL: /api/issues/7 | Time: 1781515329983
Method: GET | URL: /api/issues | Time: 1781515497362
Method: POST | URL: /api/auth/register | Time: 1781533226972
